RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
38996,Brooklyn,2025,6,13,12,45,63,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,13,0,63,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,13,15,68,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,13,30,62,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,13,45,60,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,14,0,62,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,14,15,63,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,14,30,69,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,14,45,66,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,15,0,78,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,15,15,68,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,15,30,70,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,15,45,76,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,16,0,62,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,16,15,66,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,16,30,66,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,16,45,56,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,17,0,61,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,17,15,56,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,17,30,62,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,17,45,60,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,18,0,56,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,18,15,53,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,18,30,48,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
38996,Brooklyn,2025,6,13,18,45,48,50251,POINT (1021101.4966211171 179925.1589739513),FLATLANDS AVENUE,Fountain Avenue,Crescent Street,WB
